"keyword","name","address","city","state","zip","country","phone","phonestring","website","email","time"
"ngo in bangladesh","NGO Affairs Bureau, PM Office","Dhaka"," Dhaka","","","","","","/url?q=http://www.ngoab.gov.bd/&sa=U&ved=0ahUKEwixnfqJnsfqAhWNbn0KHZwpDFEQ61gIzwIoCjAJ&usg=AOvVaw1yrHL2qR8S9KCsfNZjvlLP","",""
"ngo in bangladesh","Light House","Sher-e-Bangla Nagar Road, Bogura"," Bogura","","","","","","/url?q=http://www.lighthousebd.org/&sa=U&ved=0ahUKEwixnfqJnsfqAhWNbn0KHZwpDFEQ61gI_AIoDzAK&usg=AOvVaw1n4c9qx8pXrySQC--dP99E","",""
"ngo in bangladesh","Ashrai Technical Training Center","Darusha-Baya Rd"," Noahata","","","","","","","",""
"ngo in bangladesh","BURO Bangladesh","Culvert, Shiddhirganj 1361"," East Dogair","","1361"," Dhaka","","","/url?q=http://www.burobd.org/&sa=U&ved=0ahUKEwixnfqJnsfqAhWNbn0KHZwpDFEQ61gIwgMoEDAM&usg=AOvVaw3PqLfiRofBD5yAPYpLCPrq","",""
"ngo in bangladesh","Aloha Social Services Bangladesh (ASSB)","Aloha Bangladesh Rd, Dinajpur 5200"," Dinajpur","","5200","","","","/url?q=http://alohabangladesh.org/&sa=U&ved=0ahUKEwixnfqJnsfqAhWNbn0KHZwpDFEQ61gI8AMoEDAN&usg=AOvVaw2HS3Naq9fm7Ufg4OnBMxB1","",""
"ngo in bangladesh","ASA Branch Office, Jorarganj","Old Dhaka-Chittagong Hwy, Zorargonj"," Zorargonj","","","","","","/url?q=http://www.asa.org.bd/&sa=U&ved=0ahUKEwixnfqJnsfqAhWNbn0KHZwpDFEQ61gImQQoDDAO&usg=AOvVaw1L50rGIqql1Uta5j_6WUvS","",""
"ngo in bangladesh","Brac NGO Office","Sirajganj"," Sirajganj","","","","","","","",""
"ngo in bangladesh","RDRS Bangladesh, Haribhanga Office","Haribhanga, Airport Rd, Mahendranagar 5500"," Mahendranagar","","5500","","","","","",""
"ngo in bangladesh","RDRS Bangladesh Regional Office","Thakurgaon - Pirganj Rd"," Pirganj","","","","","","","",""
"ngo in bangladesh","United Nations Development Programme","IDB Bhaban, 18th Floor, UN Offices, E/8-A, Begum Rokeya Sarani, Dhaka 1207"," Dhaka","","1207","","","","/url?q=http://www.bd.undp.org/&sa=U&ved=0ahUKEwixnfqJnsfqAhWNbn0KHZwpDFEQ61gIsAUoETAS&usg=AOvVaw3nLtLZbPYmPfYCiLA_HUZH","",""
"ngo in bangladesh","Aram Foundation","109, ARAMFO Liason Office, 1 Circuit House Rd, Dhaka 1217"," Dhaka","","1217","","","","","",""
"ngo in bangladesh","Compassion International Bangladesh","House # 53, Block - E, 10 Enamul Hoq Chowdhury Road, Dhaka 1213"," Dhaka","","1213","","","","/url?q=https://www.compassion.com/about/where/bangladesh.htm&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gIFCgNMAA&usg=AOvVaw0cnxQ8H8ocwnH2qcSA4Ev9","",""
"ngo in bangladesh","Save the Children (Bangladesh)","House No CWN (A) 35, Road 43, Dhaka 1212"," Dhaka","","1212","","","","/url?q=https://bangladesh.savethechildren.net/&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gIOygPMAE&usg=AOvVaw0N4UM0HD9yIF90_pq6V4GP","",""
"ngo in bangladesh","Access Bangladesh","10 Tarapur, 1340"," Savar Union","","1340","","","","/url?q=https://www.accessbangladesh.org/&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gIZigOMAI&usg=AOvVaw2jC6SXM31z7g5kZvFW_Yc7","",""
"ngo in bangladesh","Centre For Community Development Assistance (CCDA)","1/8, Block G, (Old BDDL House ঢাকা, 1207"," Dhaka","","1207","","","","/url?q=http://www.ccdabd.org/&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gIgwEoDzAD&usg=AOvVaw1vRZgBs4LKUleO4wGVpkXB","",""
"ngo in bangladesh","Oxfam in Bangladesh","RAOWA Complex, Level-8 (Southern Side, VIP Road, Dhaka 1206"," Dhaka","","1206","","","","/url?q=http://www.oxfam.org/bangladesh&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gItAEoEzAE&usg=AOvVaw1WZ1H64jAfYTlBdFJvrct3","",""
"ngo in bangladesh","Bangladesh Human Rights and Resources Development Society, (BHRRDS)","Dhanmondi Lake Rd, Dhaka 1209"," Dhaka","","1209","","","","","",""
"ngo in bangladesh","BURO Bangladesh","Khulna"," Khulna","","","","","","/url?q=http://www.burobd.org/&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gI-gEoDjAG&usg=AOvVaw2ftTzDo2KTgT1p68jj1jhE","",""
"ngo in bangladesh","Agrajattra","Lichu Bagan Ln, Chattogram"," Chattogram","","","","","","/url?q=http://www.agrajattra.org.bd/&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gIpgIoDzAH&usg=AOvVaw10Agk6wj1SJ3eQ0aRzHuMQ","",""
"ngo in bangladesh","Ambala Foundation","House No-62, Block-Ka Pisciculture Housing Society, Dhaka 1207"," Dhaka","","1207","","","","/url?q=http://www.ecbangladesh.org/&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gI1gIoETAI&usg=AOvVaw0yAs0zBYRkyuDwNRNIUuo5","",""
